timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-03 23:00:00+00,NYISO,20416,19609,41.51,1.7,79,6.8,0
2024-01-04 00:00:00+00,NYISO,20181,19423,38.204,1.1,83,5.9,0
2024-01-04 01:00:00+00,NYISO,19783,18991,34.926,1.7,80,4.3,0
2024-01-04 02:00:00+00,NYISO,19171,18393,32.00866666666666,1.6,81,3.6,0
2024-01-04 03:00:00+00,NYISO,18320,17592,28.981333333333335,0.4,90,6.5,0
2024-01-04 04:00:00+00,NYISO,17224,16599,28.485333333333333,0.6,89,5.9,0
2024-01-04 05:00:00+00,NYISO,16170,15701,29.28933333333333,0.7,88,6.1,0
2024-01-04 06:00:00+00,NYISO,15453,15033,27.517999999999997,0.8,88,6.1,0
2024-01-04 07:00:00+00,NYISO,14982,14624,26.505333333333333,1.2,85,4.8,0
2024-01-04 08:00:00+00,NYISO,14725,14394,25.96466666666667,1,88,4.1,0
2024-01-04 09:00:00+00,NYISO,14665,14332,26.31866666666667,1.1,86,2.8,0.1
2024-01-04 10:00:00+00,NYISO,14852,14564,28.60666666666667,0.7,92,4.1,0.1
2024-01-04 11:00:00+00,NYISO,15618,15348,35.22933333333334,0.6,93,3,0.1
2024-01-04 12:00:00+00,NYISO,17015,16683,41.24733333333334,0.5,92,3.1,0.1
2024-01-04 13:00:00+00,NYISO,18221,17833,39.162666666666674,1.1,82,4.8,0
2024-01-04 14:00:00+00,NYISO,18682,18278,35.784666666666666,2.6,79,7.9,0
2024-01-04 15:00:00+00,NYISO,18825,18333,36.68533333333333,4.7,68,10,0
2024-01-04 16:00:00+00,NYISO,18768,18181,35.59466666666666,6.1,55,18.4,0
2024-01-04 17:00:00+00,NYISO,18536,17973,34.63733333333333,6.6,50,22,0
2024-01-04 18:00:00+00,NYISO,18263,17804,34.696,6.5,48,22.4,0
2024-01-04 19:00:00+00,NYISO,18024,17774,35.791333333333334,6.6,44,23.3,0
2024-01-04 20:00:00+00,NYISO,18102,17873,37.324666666666666,6,43,25.1,0
2024-01-04 21:00:00+00,NYISO,18761,18274,42.882666666666665,4.6,45,22.7,0
2024-01-04 22:00:00+00,NYISO,19746,19018,53.406666666666666,3.4,46,21.3,0
2024-01-04 23:00:00+00,NYISO,20804,20129,49.242666666666665,1.7,49,19,0
2024-01-05 00:00:00+00,NYISO,20772,20046,45.07866666666666,0.8,50,18.6,0
2024-01-05 01:00:00+00,NYISO,20508,19646,42.27133333333333,0.7,48,17.3,0
2024-01-05 02:00:00+00,NYISO,20040,19081,40.13533333333333,-0.2,49,15.8,0
2024-01-05 03:00:00+00,NYISO,19281,18315,37.544,-1,52,15,0
2024-01-05 04:00:00+00,NYISO,18266,17365,36.36066666666667,-1.8,54,15.6,0
2024-01-05 05:00:00+00,NYISO,17329,16471,45.61466666666667,-2.5,56,16.1,0
2024-01-05 06:00:00+00,NYISO,16666,15771,44.71933333333333,-3.3,58,15.8,0
2024-01-05 07:00:00+00,NYISO,16240,15384,44.32333333333334,-3.8,59,15.3,0
2024-01-05 08:00:00+00,NYISO,15990,15164,43.62466666666667,-4.1,60,13.2,0
2024-01-05 09:00:00+00,NYISO,15898,15126,43.43,-4.5,62,10.6,0
2024-01-05 10:00:00+00,NYISO,16093,15373,45.96933333333333,-4.7,63,10.6,0
2024-01-05 11:00:00+00,NYISO,16861,16192,58.11133333333333,-4.9,64,8.9,0
2024-01-05 12:00:00+00,NYISO,18303,17573,64.03933333333333,-5.1,66,8.7,0
2024-01-05 13:00:00+00,NYISO,19427,18607,60.74133333333334,-4.5,67,8.2,0
2024-01-05 14:00:00+00,NYISO,19673,18715,50.675333333333334,-2.9,62,7.9,0
2024-01-05 15:00:00+00,NYISO,19514,18287,47.12,-1.1,56,8.2,0
2024-01-05 16:00:00+00,NYISO,19179,17759,46.08866666666667,0.3,52,8.9,0
2024-01-05 17:00:00+00,NYISO,18991,17367,43.760666666666665,1.5,50,9.6,0
2024-01-05 18:00:00+00,NYISO,18779,17142,44.03733333333333,2.6,49,9.4,0
2024-01-05 19:00:00+00,NYISO,18780,17271,45.572,3.3,48,9.5,0
